LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF,Recovery
502270,,CO,P,SUBPRIME,R,CONV,1,0.085,350000,10/18/2006,12/1/2006,260000,360,354,600,No PMI Insurance,Arlington,MA,2476,495,0.06077,0.145,0.085,,0.015,,6,6WSLB,11/1/2008,0.015,6,0,,6,90 DPD,0,,,340000,5/5/2010,259862.8,0.085,,533,N,Y,,,N,,,5000,0.83
502336,,SF,P,SUBPRIME,R,CONV,1,0.094,320000,8/25/2006,10/1/2006,256000,360,354,360,No PMI Insurance,Brockton,MA,2301,509,0.0682,0.154,0.094,,0.015,,6,6WSLB,9/1/2008,0.015,6,0,,6,REO,0,,12/13/2008,94500,12/14/2010,255346.82,0.094,,540,N,Y,,,N,,,5000,1
502365,,CO,P,SUBPRIME,P,CONV,1,0.0824,252000,8/21/2006,10/1/2006,201600,360,354,360,No PMI Insurance,Washington,DC,20020,431,0.0566,0.1424,0.0824,,0.015,,6,6WSLB,9/1/2008,0.015,6,0,,6,REO,0,,,60000,11/23/2010,201600,0.0824,,520,N,Y,,,N,,,5000,0.97
504704,,CO,P,SUBPRIME,P,CONV,1,0.07,185000,10/23/2006,12/1/2006,148000,360,354,600,No PMI Insurance,Everett,WA,98204,601,0.06125,0.13,0.07,,0.01,,6,6W1BD,11/1/2008,0.01,6,0,,6,90 DPD,0,,,98000,12/23/2010,147862.57,0.07,5/23/2007,561,N,Y,,,N,,,1500,0.86
502996,,TH,P,SUBPRIME,P,CONV,1,0.107,225000,12/31/1999,2/1/2000,168750,360,353,360,No PMI Insurance,Brooklyn,NY,11221,551,0.0525,0.167,0.107,,0.01,,6,6W1BD,1/1/2003,0.01,6,0,,6,FC,0,,1/3/2007,245000,8/23/2010,168355.97,0.107,,515,N,N,,,N,,,VARIOUS,1
500222,,SF,P,SUBPRIME,P,PMI,1,0.06625,98000,7/30/2003,9/1/2003,96500,360,352,360,United Guaranty Ins,Fort Branch,IN,47648,,,,,,,,,,,,,,,,FC,0,8/25/2009,7/24/2010,82000,8/19/2010,103137.14,0.06625,3/12/2010,527,N,N,,,N,,,3750,0.94
500300,,SF,U,SUBPRIME,,CONV,1,0.07875,445200,11/30/2006,1/1/2007,356160,360,352,480,No PMI Insurance,Brentwood,NY,11717,,0.06125,0.14375,0.07875,,0.01,,6,6W1BD,12/1/2008,0.01,6,0,,6,REO,0,,,,,355404.88,0.07875,,394,N,N,,,N,,,5000,0.86
501099,,SF,P,FHA,C,FHA,1,0.06,335000,9/19/2008,11/1/2008,323023,360,352,360,FHA,Franklin Park,IL,60131,,,,,,,,,,,,,,,,FC,0,,10/1/2009,150000,8/10/2010,320737.94,0.06,8/4/2009,470,N,N,,,N,,,VARIOUS,0.95
501295,,PD,P,SUBPRIME,P,CONV,1,0.06875,295000,5/26/2006,7/1/2006,217500,360,352,360,No PMI Insurance,Orlando,FL,32837,652,0.05875,0.12875,0.06875,,0.01,,6,6W1BD,6/1/2008,0.01,6,0,,6,REO,0,,5/8/2007,85000,2/17/2010,216198.72,0.06875,1/19/2007,481,N,Y,,,N,,,5000,1
503636,,SF,P,SUBPRIME,C,PMI,1,0.075,211000,11/13/2007,1/1/2008,189000,360,352,360,PMI Mortgage Ins Co,Wilmington,NC,28405,,0.005,0.075,0.07,,0,,12,PAYHS,12/1/2009,0,12,0,48,12,REM,0,,2/11/2010,145000,8/19/2009,187999.5,0.075,7/12/2008,638,N,N,,,N,,,2500,1
500317,,SF,P,SUBPRIME,P,PMI,1,0.075,153000,8/24/2007,10/1/2007,149900,360,351,360,Radian Guaranty Inc,Milan,MI,48160,,,,,,,,,,,,,,,,REM,0,,11/15/2008,41000,12/17/2009,148969.66,0.075,9/20/2008,512,N,N,,,N,,,2500,0.82
502545,,PD,P,SUBPRIME,P,CONV,1,0.0855,1003199,8/15/2006,10/1/2006,800000,360,351,600,No PMI Insurance,Mililani,HI,96789,482,,,,,,,,,,,,,,,90 DPD,0,,,935000,7/8/2010,799135.93,0.0855,,536,N,Y,,,N,,,5000,0.97
503298,,SF,P,SUBPRIME,C,CONV,1,0.0955,305000,4/3/2002,5/10/2002,238000,360,351,0,No PMI Insurance,Coward,SC,29530,476,0.063,0.1655,0.0955,,0.01,0,6,6W1BD,4/10/2004,0.01,6,0,,6,90 DPD,0,,,345000,7/28/2010,237047.07,0.0955,,576,N,N,,,N,,,5000,0.97
504423,,SF,S,SUBPRIME,,CONV,1,0.082,1300000,4/27/2006,6/1/2006,875000,360,351,360,No PMI Insurance,Ribera,NM,87560,630,0.0525,0.142,0.082,,0.01,,6,6WSLB,5/1/2008,0.01,6,0,,6,REO,0,,9/18/2007,800000,10/30/2008,870381.11,0.082,,482,N,Y,,,N,,,5000,0.99
500180,,SF,P,SUBPRIME,P,CONV,1,0.0985,675000,9/13/2006,11/1/2006,472500,360,350,600,No PMI Insurance,Southampton,NY,11968,534,0.0699,0.1585,0.0985,,0.015,,6,6WSLB,10/1/2008,0.015,6,0,,6,FC,0,,1/2/2007,580000,10/5/2010,472230.7,0.0985,,480,N,Y,,,N,,,5000,0.86
500426,,SF,P,SUBPRIME,P,CONV,1,0.085,338000,9/14/2006,11/1/2006,321100,360,350,600,No PMI Insurance,Peekskill,NY,10566,520,0.0592,0.145,0.085,,0.015,,6,6WSLB,10/1/2008,0.015,6,0,,6,REO,0,,1/5/2008,225000,9/30/2010,320778.64,0.085,,447,N,Y,,,N,,,5000,0.79
500624,,SF,P,SUBPRIME,P,CONV,2,0.10625,349000,6/22/2005,8/1/2005,87250,360,350,360,No PMI Insurance,Henderson,NV,89015,,,,,,,,,,,,,,,,90 DPD,0,9/25/2009,,,,43467.91,0.10625,5/29/2010,521,N,N,273335,1/7/2011,N,,,0,0.83
501444,,CO,S,SUBPRIME,P,CONV,1,0.065,350000,10/15/2007,12/1/2007,257920,360,350,360,No PMI Insurance,Charleston,SC,29401,,,,,,,,,,,,,,,,FC,0,,12/18/2008,225000,10/21/2010,255775.48,0.065,,,N,N,,,N,,,VARIOUS,0.97
501782,,SF,P,SUBPRIME,P,CONV,1,0.094,207900,2/22/2006,4/1/2006,166320,360,350,360,No PMI Insurance,Spring Cove,PA,17362,492,0.06916,0.154,0.094,,0.015,,6,6WSLB,3/1/2008,0.015,6,0,,6,FC,0,,3/11/2010,170000,6/29/2010,165543.97,0.094,6/12/2008,451,N,Y,,,N,,,5000,0.83
504300,,SF,P,FHA,R,FHA,1,0.055,925000,2/9/2010,4/1/2010,742520,360,350,360,FHA,Millstone Township,NJ,8535,,,,,,,,,,,,,,,,CURRENT,0,,,850000,3/29/2010,735069.94,0.055,12/28/2010,683,N,Y,,,N,,,5000,0.87
500033,,SF,P,SUBPRIME,C,CONV,1,0.06875,545000,5/7/2007,7/1/2007,432000,360,349,480,No PMI Insurance,South Ozone Park,NY,11420,769,0.0225,0.11875,0,,0.01,,6,6W1BD,6/1/2014,0.01,6,0,,6,REO,0,,8/6/2008,325000,6/26/2009,430250.88,0.06875,4/16/2008,657,N,Y,,,N,,,2500,1
500373,,SF,P,SUBPRIME,P,CONV,1,0.0775,245000,5/17/2006,7/1/2006,196000,360,349,480,No PMI Insurance,Fort Myers,FL,33905,606,0.05679,0.1375,0.0775,,0.015,,6,6WSLB,6/1/2008,0.015,6,0,,6,FC,0,,7/1/2010,45000,8/24/2010,195378.68,0.0775,,662,N,Y,,,N,,,5000,1
501837,,SF,P,SUBPRIME,P,CONV,1,0.07945,310000,8/15/2006,10/1/2006,248000,360,349,480,No PMI Insurance,Homestead,FL,33035,,0.0625,0.14445,0.07945,,0.01,,6,6W1BD,9/1/2008,0.01,6,0,,6,FC,0,,1/4/2008,95000,12/23/2010,247256.28,0.07945,,508,N,N,,,N,61811.01,12/31/2010,5000,0.87
503070,,CO,P,SUBPRIME,,CONV,1,0.076,630000,11/30/2006,1/1/2007,504000,360,349,360,No PMI Insurance,Reston,VA,20190,633,0.0595,0.146,0.076,,0.015,,6,6W1BD,12/1/2008,0.015,6,0,,6,90 DPD,0,,,422500,10/21/2010,504000,0.076,,509,N,Y,,,N,,,5000,0.85
503362,,PD,P,SUBPRIME,,CONV,2,0.115,370000,10/9/2006,12/1/2006,73000,360,349,360,No PMI Insurance,San Diego,CA,92139,711,,,,,,,,,,,,,,,CURRENT,0,3/31/2010,,365000,10/8/2006,36378.46,0.115,12/27/2010,691,N,N,239691.27,12/31/2010,Y,,,VARIOUS,0.99
504165,,SF,P,SUBPRIME,P,CONV,2,0.1275,450000,4/5/2006,6/1/2006,90000,360,349,360,No PMI Insurance,Brentwood,NY,11717,619,,,,,,,,,,,,,,,90 DPD,0,,,337000,8/10/2008,89771.49,0.1275,,541,N,Y,358888,1/7/2011,N,,,5000,0.83
504259,,SF,P,SUBPRIME,P,CONV,1,0.0725,1114000,6/21/2006,8/1/2006,800000,360,349,480,No PMI Insurance,Riverside,CA,92503,613,0.0625,0.1325,0.0725,,0.01,,6,6WSLB,7/1/2008,0.01,6,0,,6,FC,0,,11/14/2007,540000,12/2/2010,796679.48,0.0725,,606,N,Y,,,N,,,5000,0.97
504471,,CO,S,SUBPRIME,P,PMI,1,0.0675,250000,1/28/2008,3/1/2008,224910,360,349,360,United Guaranty Ins,Hilton Head,SC,29928,,,,,,,,,,,,,,,,FC,0,,1/19/2009,15000,5/24/2010,224846.74,0.0675,9/16/2009,500,N,N,,,N,,,VARIOUS,0.85
504785,,SF,P,SUBPRIME,P,CONV,1,0.08,575000,6/4/2007,7/1/2007,460000,360,349,360,No PMI Insurance,Miami,FL,33173,,,,,,,,,,,,,,,,FC,0,,9/12/2008,272500,12/27/2010,456819.21,0.08,,480,N,N,,,N,,,VARIOUS,0.83
504947,,SF,P,SUBPRIME,P,CONV,1,0.068,432500,4/26/2006,6/1/2006,346000,360,349,360,No PMI Insurance,Ewa Beach,HI,96706,648,0.04729,0.128,0.068,,0.015,,6,6WSLB,5/1/2008,0.015,6,0,,6,FC,0,,10/5/2009,375500,10/12/2010,346000,0.068,,598,N,Y,,,N,,,5000,0.97
501205,,SF,P,SUBPRIME,P,CONV,1,0.0855,484000,7/27/2006,9/1/2006,387200,360,348,480,No PMI Insurance,Saint Albans,NY,11412,466,0.06034,0.1455,0.0855,,0.015,,6,6WSLB,8/1/2008,0.015,6,0,,6,FC,0,,12/18/2007,345000,10/6/2010,386088.96,0.0855,,466,N,Y,,,N,,,5000,0.83
501359,,SF,P,SUBPRIME,P,CONV,1,0.0799,300000,7/31/2006,9/1/2006,240000,360,348,360,No PMI Insurance,North Miami,FL,33168,,0.05474,0.1399,0.0799,,0.015,,6,6WSLB,8/1/2008,0.015,6,0,,6,FC,0,,11/5/2007,125000,9/2/2010,238164.77,0.0799,6/25/2007,516,N,N,,,N,,,VARIOUS,0.95
501455,,SF,P,SUBPRIME,C,CONV,1,0.0855,249000,1/22/2007,3/1/2007,224100,360,348,480,No PMI Insurance,Norway,ME,4268,592,0,0.99999,0,,0,,240,,2/1/2017,0,240,0,,240,FC,0,,5/6/2008,125000,12/17/2010,223476.24,0.0855,2/2/2008,623,N,Y,,,N,,,1500,1
502017,,SF,P,SUBPRIME,P,PMI,1,0.07125,235000,6/30/2006,8/1/2006,204000,360,348,360,United Guaranty Ins,Ruskin,FL,33570,,,,,,,,,,,,,,,,REO,0,,,85000,9/3/2010,202084.11,0.07125,,,N,N,,,N,,,VARIOUS,0.97
502363,,SF,P,SUBPRIME,P,CONV,1,0.085,115000,11/7/2007,1/1/2008,114000,360,348,360,No PMI Insurance,Lake Placid,FL,33852,,0.01,0.085,0.075,,0,,12,PAYHS,12/1/2009,0,12,0,48,12,FC,0,,1/24/2009,63000,7/7/2010,113206.37,0.085,12/10/2009,425,N,N,,,N,,,2500,0.83
503139,,SF,P,FHA,R,FHA,1,0.06,850000,1/4/2010,2/1/2010,497303,360,348,360,FHA,East Palo Alto,CA,94303,,,,,,,,,,,,,,,,CURRENT,0,,,750000,1/29/2010,491719.09,0.06,12/3/2010,766,N,Y,,,N,,,5000,0.87
504608,,SF,P,SUBPRIME,P,CONV,1,0.076,160000,8/18/2006,10/1/2006,127920,360,348,360,No PMI Insurance,Richardson,TX,75081,603,0.065,0.136,0,,0.015,,6,6WSLB,9/1/2008,0.015,6,0,,6,FC,0,,7/21/2009,150000,8/3/2010,126863.32,0.076,1/29/2009,515,N,Y,,,N,,,5000,0.83
504901,,SF,P,SUBPRIME,C,CONV,1,0.09,237000,9/25/2006,11/1/2006,189600,360,348,360,No PMI Insurance,Margate,FL,33068,,0.0625,0.15,0.09,,0.01,,6,6WSLB,10/1/2008,0.01,6,0,,6,FC,0,,3/24/2008,72000,10/5/2010,188417.03,0.09,,552,N,Y,,,N,,,5000,0.82
500430,,SF,P,SUBPRIME,P,PMI,1,0.06375,128000,4/20/2007,6/1/2007,127200,360,347,360,General Electric Ins,Colberton,GA,30628,,,,,,,,,,,,,,,,REM,0,,9/17/2008,126440,12/18/2008,125643.14,0.06375,7/28/2008,567,N,N,,,N,,,2500,0.6
501422,,SF,P,SUBPRIME,P,CONV,1,0.07375,182000,5/4/2005,7/1/2005,136000,360,347,360,No PMI Insurance,Hadley,MA,1035,,,,,,,,,,,,,,,,FC,0,,5/18/2010,155000,11/1/2010,134684.8,0.07375,11/30/2009,631,N,N,,,N,,,VARIOUS,0.83
502314,,SF,P,SUBPRIME,R,CONV,1,0.0815,320000,8/30/2006,10/1/2006,251000,360,347,360,No PMI Insurance,Pinehurst,NC,28374,571,0.0557,0.1415,0.0815,,0.015,,6,6WSLB,9/1/2008,0.015,6,0,,6,REO,0,,7/21/2009,182700,12/30/2010,248964.77,0.0815,,646,N,Y,,,N,,,5000,0.95
502429,,SF,P,SUBPRIME,C,CONV,1,0.0732,360000,2/22/2007,4/1/2007,306000,360,347,360,No PMI Insurance,Phoenix,AZ,85018,622,0.065,0.1332,0.0732,,0.015,,6,6W1BD,3/1/2009,0.015,6,0,,6,FC,0,,9/14/2010,245000,10/26/2010,306000,0.0732,,554,N,Y,,,N,,,5000,0.85
504254,,CO,P,SUBPRIME,P,CONV,2,0.12,230000,6/9/2006,8/1/2006,30000,360,347,360,No PMI Insurance,Pompano Beach,FL,33069,623,,,,,,,,,,,,,,,90 DPD,0,,,74000,8/3/2010,29891.06,0.12,,485,N,Y,158849.85,12/31/2010,Y,,,5000,0.6
504394,,SF,P,SUBPRIME,P,CONV,1,0.096,51000,10/16/2006,12/1/2006,36000,360,347,360,No PMI Insurance,Sacred Heart,MN,56285,557,0.065,0.156,0.096,,0.015,,6,6W1BD,11/1/2008,0.015,6,0,,6,REO,0,,4/1/2009,44400,12/11/2009,35782.64,0.096,,566,N,Y,,,N,,,5000,0.6
500586,,SF,P,SUBPRIME,C,CONV,1,0.06,136000,11/30/2005,1/1/2006,136000,360,346,360,No PMI Insurance,Powder Springs,GA,30127,,,,,,,,,,,,,,,,CURRENT,0,11/30/2009,,45000,10/15/2010,105849.21,0.06,12/15/2010,618,N,N,,,N,,,VARIOUS,0.79
500638,,SF,P,SUBPRIME,P,CONV,1,0.086,440000,5/9/2005,7/1/2005,396200,360,346,360,No PMI Insurance,Coram,NY,11727,685,0.0699,0.146,0.086,,0.015,,6,6WSLB,6/1/2007,0.015,6,0,,6,FC,0,,11/22/2005,275000,12/3/2010,393008.41,0.086,11/30/2010,596,N,Y,,,N,,,5000,0.95
500832,,2F,P,SUBPRIME,P,CONV,1,0.08,530000,1/5/2007,3/1/2007,477000,360,346,360,No PMI Insurance,Brooklyn,NY,11208,657,0.06,0.14,0.08,,0.01,,6,6WSLB,2/1/2009,0.01,6,0,,6,FC,0,,6/24/2008,340000,9/27/2010,472668.67,0.08,10/10/2009,500,N,Y,,,N,,,1500,0.95
501023,,CO,P,SUBPRIME,C,CONV,1,0.07625,500000,5/22/2006,7/1/2006,450000,360,346,360,No PMI Insurance,Honokaa,HI,96727,671,0,0.99999,0,,0,,999,,9/1/1989,0,999,0,,999,FC,0,,1/23/2008,320000,10/18/2010,445889.23,0.07625,,518,N,N,,,N,,,5000,0.94
501838,,CO,P,SUBPRIME,P,CONV,1,0.094,160000,7/17/2006,9/1/2006,128000,360,346,480,No PMI Insurance,District Heights,MD,20747,,0.0733,0.159,0.094,,0.01,,6,6W1BD,8/1/2008,0.01,6,0,,6,90 DPD,0,,,63000,10/12/2010,125868.36,0.094,,458,N,N,,,N,,,5000,0.82
501884,,SF,P,SUBPRIME,P,PMI,1,0.0725,116000,7/6/2007,9/1/2007,115000,360,346,360,United Guaranty Ins,New Port Richey,FL,34652,,,,,,,,,,,,,,,,REM,0,,12/22/2008,79525,12/18/2008,113688.84,0.0725,10/31/2008,514,N,N,,,N,,,2500,0.97
